序号,项目,选型,数量,单价,单位,月成本(元),年成本(元),备注
1,主服务器,阿里云ECS 2核4G 40GB,1,168.91,元/月,168.91,2026.92,传统VPS
2,服务器带宽,1Mbps固定带宽,1,23,元/月,23,276,或按量0.8元/GB
3,对象存储,阿里云OSS 100GB资源包,1,126,元/年,10.5,126,首年够用
4,OSS流量,CDN回源+CDN 23GB/月,12,5.3,元/月,5.3,64,按月计费
5,数据库备份,OSS冷存储 1GB×90天,1,6,元/年,0.5,6,每日全量备份
6,客户端下载,GitHub Releases,1,0,免费,0,0,免费托管
7,域名,totalrpbox.com,1,98,元/年,8.17,98,已租用
8,SSL证书,Let's Encrypt,1,0,免费,0,0,免费自动续期
9,杂项预留,邮件/快照/监控等,1,10,元/月,10,120,预留额度
,,,,,,,,
,合计,,,,,226.38,2716.92,
,,,,,,,,
,备注:,,,,,,,,
,适用场景:,50日活 300注册用户,,,,,
,服务器配置:,2核4G 40GB存储,,,,,
,OSS容量:,100GB(首年够用约51-95GB),,,,,
,月流量:,约23GB,,,,,
